generations,population,crossover,mutation,elitism,bits,score,avg_fitness,std_dev
28,87,0.7711,0.0353,0.6501,34,-76.50097357679988,-79.72625830489785,0.8505694561959531
28,87,0.7711,0.0353,0.6501,34,-76.38513728957868,-79.6715591869297,0.9728437947020573
28,87,0.7711,0.0499,0.6501,34,-76.22972974596206,-79.4881555610817,0.9168516302392684
28,87,0.7711,0.0353,0.6501,34,-76.04259762580021,-79.44684853640072,1.208501821201029
28,87,0.7329,0.0353,0.6501,34,-75.8264683559518,-79.31468178544624,1.3764268589888875
28,87,0.7885,0.0499,0.6501,34,-75.80583787595465,-79.41377365019478,1.6158715484802835
28,87,0.7711,0.0499,0.6501,34,-75.72259617922347,-79.24728545206386,1.4493785456807744
28,87,0.7329,0.0353,0.6501,34,-74.44143634423733,-78.41977380922611,2.356674929977572
28,87,0.7711,0.0353,0.6501,34,-74.21437426053492,-78.72289321443374,3.417037907797647
28,87,0.7711,0.0353,0.6501,34,-77.5717192906036,-80.45213157178983,0.16082456237247508
28,87,0.7711,0.0353,0.6501,34,-77.08135503715117,-80.00121403094214,0.23971798758192975
28,80,0.7711,0.0353,0.6501,34,-76.96160473060033,-80.0092644623696,0.49531946353853906
28,87,0.7329,0.0353,0.6501,20,-76.93962056350128,-79.99104439869856,0.502847670394561
28,87,0.7329,0.0353,0.6501,34,-76.91081803888123,-80.01763707592829,0.6136380740941337
28,87,0.7711,0.0353,0.6501,20,-76.80235310869348,-80.12046397554239,1.0362217336978297
28,87,0.7711,0.0499,0.6501,34,-76.71171124623301,-79.8485495930885,0.6736766937109958
28,87,0.7711,0.0353,0.6501,34,-76.65682356558766,-79.69069004640396,0.4677329616326024
28,87,0.7014,0.0353,0.6501,34,-76.53773929038915,-79.82506144037181,0.9746442999653158
28,83,0.7329,0.0353,0.6501,34,-76.50954959537914,-79.75849861032329,0.89789802988831
28,67,0.7711,0.0353,0.6501,34,-76.20225176298342,-79.53237526592628,1.0602470058857083
28,87,0.7711,0.0499,0.6501,20,-76.0899421922073,-79.53989400392652,1.299903623438452
28,67,0.7329,0.0353,0.6501,34,-75.55083328088523,-79.03362893634004,1.3655913109096354
28,67,0.7711,0.0353,0.6501,34,-75.53607525994373,-79.31035026408091,1.9485500082743707
28,67,0.7711,0.0353,0.6501,34,-74.06578703715961,-77.85981695912528,1.9880598439313535
28,87,0.7711,0.0353,0.6501,34,-77.3436991430387,-80.30543282995245,0.323467373827496
28,87,0.7711,0.0353,0.6501,34,-77.03839463684108,-79.99831673150437,0.3198441893265909
28,87,0.7711,0.0499,0.6501,34,-76.67818687809957,-79.71884757628801,0.4813213963768849
28,87,0.7711,0.0353,0.6501,20,-76.6511571000197,-79.59034241456006,0.27837062908070115
28,80,0.7711,0.0353,0.6501,34,-76.5779703713488,-79.74652660730867,0.7371124719197399
28,87,0.7329,0.0353,0.6501,20,-76.5364659706456,-79.81261842883546,0.9523049163797471
28,87,0.7711,0.0353,0.6501,34,-76.34200580722965,-79.72697735508163,1.1699430957039612
28,76,0.7329,0.0353,0.6501,34,-76.15220102540601,-79.75387448860367,1.6033469263953233
28,87,0.7329,0.0353,0.6501,20,-76.02627757489506,-79.35045600784343,1.0483568658967404
12,87,0.7329,0.0353,0.6501,34,-75.90630253483519,-77.8387353812119,1.4648656927534172
28,66,0.7329,0.0353,0.6501,20,-75.77556705282653,-79.46350188624186,1.775869666830671
28,80,0.7711,0.0353,0.6501,34,-75.72132035630645,-79.02718956944693,1.0117384262809772
28,87,0.7711,0.0353,0.6501,34,-75.46162522076736,-79.38398622937697,2.2447220172192335
28,87,0.7329,0.0353,0.6501,34,-75.35596480458025,-79.05805608553655,1.8041825619126028
28,87,0.7329,0.0353,0.6501,34,-74.9926119253032,-78.71091433010233,1.8366048095982779
28,87,0.7711,0.0353,0.6501,34,-77.25610997175593,-80.33588757970888,0.559555215905899
28,87,0.7711,0.0353,0.6501,20,-77.11588054690094,-80.13311859199555,0.43447609018922956
28,87,0.6274,0.0353,0.6501,20,-76.86025334273538,-79.91235654543449,0.5042064053982235
28,87,0.7711,0.0353,0.6501,34,-76.77515042522369,-79.94238272607753,0.7344646017076731
28,80,0.7711,0.0309,0.6501,34,-76.71203012983649,-80.01063715023993,0.9972140408068774
28,80,0.7711,0.0353,0.6501,34,-76.57076509075753,-79.67168763752773,0.6018450935403847
28,87,0.7711,0.0499,0.6501,34,-76.54857244719848,-79.96852409357325,1.2399032927495468
28,87,0.7711,0.0353,0.6501,34,-76.36459039982476,-79.72536165968069,1.1215425197118547
28,87,0.7711,0.0353,0.6501,34,-76.22615354466853,-79.41574301269254,0.7791789360480227
28,87,0.7711,0.0353,0.6501,34,-76.21571616892457,-79.64566251910722,1.2598927003653038
28,87,0.7329,0.0353,0.6501,20,-75.89830072427169,-79.40027844800832,1.4039554474732756
28,87,0.7711,0.0353,0.6501,34,-75.81141425356613,-79.45721990121321,1.6916112952941686
28,87,0.7711,0.0353,0.6501,34,-75.81104037840774,-79.37176630499386,1.5214518531722487
28,87,0.7711,0.0499,0.6501,34,-75.68239337212472,-79.35989692341255,1.7550071025756673
28,87,0.749,0.0499,0.6501,34,-74.24243050082515,-78.19062477671207,2.2963885517738323
28,87,0.7711,0.0353,0.6501,34,-77.20595107854037,-80.30037690042808,0.5888516437754197
28,87,0.7711,0.0353,0.6501,20,-77.10756508260806,-80.08101745383934,0.3469047424625453
28,87,0.6274,0.0353,0.6501,20,-77.07794707328769,-80.14089459644958,0.5258950463238001
28,87,0.65,0.0353,0.6501,20,-76.94505715930828,-79.9383806151509,0.38664691168527204
28,87,0.7711,0.0353,0.6501,34,-76.9366341666547,-79.97617827592005,0.4790882185306919
28,80,0.7711,0.0353,0.6501,34,-76.89662185805972,-80.01259822239176,0.6319527286640861
28,87,0.7711,0.0353,0.6501,34,-76.63686132023713,-79.94638317187109,1.019043703267939
28,87,0.7711,0.0353,0.6501,34,-76.63653064002638,-79.80066979007542,0.7282783000980932
28,87,0.7711,0.0353,0.6501,34,-76.33404776291262,-79.4833086244758,0.6985217231263688
28,87,0.7711,0.0353,0.6501,34,-76.30441973508317,-79.44841265020602,0.6879858302457019
28,87,0.6274,0.0353,0.6501,20,-76.14923342778566,-79.60246806112161,1.3064692666719095
28,80,0.7711,0.0309,0.6501,34,-75.91275832800865,-79.3433685182946,1.2612203805718851
28,87,0.7711,0.0499,0.6501,34,-75.82557274996216,-79.34718530092074,1.443225101917177
28,80,0.7711,0.0353,0.6501,34,-74.77719899121517,-78.70256529096396,2.250732599497576
28,87,0.7711,0.0353,0.6501,34,-74.55804478094647,-78.91107503024358,3.106060498594214
28,87,0.6274,0.0353,0.6501,20,-77.63875293693955,-80.51602798551235,0.1545500971455941
28,87,0.7711,0.0353,0.6501,34,-77.21270116129831,-80.21532886251306,0.4052554024295139
28,80,0.7711,0.0353,0.6501,34,-77.14457974260918,-80.15482921570042,0.4204989461824757
28,87,0.7711,0.0353,0.6501,34,-77.12417483086907,-80.13581287295861,0.4232760841791052
28,87,0.7711,0.0353,0.6501,34,-76.9825279890868,-79.94941650012946,0.3337770220853047
28,87,0.7711,0.0353,0.6501,34,-76.7958968467703,-79.93824555647919,0.6846974194177704
28,87,0.7711,0.0353,0.6501,20,-76.79059581038402,-79.79727592465207,0.4133602285361003
28,87,0.7711,0.0353,0.6501,34,-76.4684855954643,-79.55793670817012,0.5789022254116276
28,87,0.7711,0.0353,0.6501,34,-76.41576913589238,-79.72326408011237,1.0149898884400088
28,87,0.65,0.0353,0.6501,20,-76.30934672787066,-79.61753137621159,1.01636929668187
28,87,0.6274,0.0353,0.6501,20,-76.30159445940645,-79.55032219162501,0.8974554644371431
28,87,0.6274,0.0353,0.6501,20,-75.56822358904165,-79.12362160679521,1.5107960355071253
45,87,0.6274,0.0353,0.6501,34,-75.10803085677578,-80.03709077733959,0.8581198411275971
28,87,0.6274,0.0353,0.6501,20,-75.00713858265415,-78.86636744459022,2.1184577238721567
28,87,0.7711,0.0353,0.6501,34,-74.40824060905057,-78.51417301033027,2.611864802559408
28,80,0.7218,0.0353,0.6501,34,-77.56132582594205,-80.46456778793714,0.2064839239901869
28,87,0.7711,0.0353,0.6501,34,-77.4736855901842,-80.42494525556657,0.3025193307647365
28,80,0.7711,0.0353,0.638,34,-77.37463826266367,-80.3096201945683,0.26996386380928017
28,87,0.7711,0.0485,0.6501,34,-77.31215439333548,-80.27613636751838,0.32796394836579207
28,80,0.7711,0.0353,0.6501,34,-77.11694794840308,-80.14785119279733,0.46180648878849806
28,87,0.7711,0.0353,0.6501,20,-77.02360651539554,-80.03204944434897,0.4168858579068733
28,87,0.7711,0.0353,0.6501,34,-76.95598863187224,-79.99922941971666,0.4864815756888173
28,87,0.6478,0.0353,0.6501,34,-76.64967179117451,-79.8710434204194,0.8427432584897663
28,87,0.7711,0.0353,0.6501,34,-76.41589189956925,-79.56719383726522,0.7026038753919697
28,87,0.6274,0.0353,0.6501,20,-76.19483211362676,-79.45697257936033,0.9242809314671303
37,87,0.7711,0.0353,0.6501,34,-76.19451802808327,-80.1550827097923,0.5211293634180584
28,87,0.7711,0.0353,0.6501,34,-76.08102877891196,-79.48900241637978,1.2159472749356357
28,87,0.7711,0.0353,0.6501,34,-75.75288547685209,-79.12515830392725,1.1445456541503352
28,87,0.7711,0.0353,0.6501,20,-75.48682954986026,-79.38532726959193,2.196995439463336
28,80,0.7711,0.0353,0.6501,34,-73.6298887430158,-78.01671141180545,3.173645337579302
28,87,0.7711,0.0353,0.6501,34,-77.31315483823752,-80.23874016633035,0.2511706561856475
28,87,0.7711,0.0353,0.6501,34,-77.27840554492774,-80.25778064832022,0.35875020678497804
28,80,0.7711,0.0485,0.6501,34,-77.20880803481926,-80.23450908411219,0.4514020985858621
28,87,0.7711,0.0485,0.6501,34,-77.10400241132375,-80.14664385061232,0.4852828785771628
28,87,0.7711,0.0485,0.638,34,-77.01540675311776,-80.08653054968325,0.542247593130993
28,87,0.7711,0.0353,0.6501,34,-76.98442740039933,-79.90292124609938,0.23698769140012943
28,80,0.7711,0.0353,0.638,34,-76.71486435923322,-79.83013557109163,0.6305424237168411
28,80,0.7711,0.0353,0.6501,34,-76.35227332271816,-79.64889304155491,0.9932394376734992
28,80,0.7711,0.0353,0.6501,34,-75.9701971794796,-79.15526303488345,0.770131710807702
28,87,0.7711,0.0353,0.6501,20,-75.61545338722055,-78.89759308855018,0.964279402659247
28,80,0.7218,0.0353,0.6501,34,-75.55075938504517,-79.35012407230096,1.998729374511578
28,80,0.7711,0.0353,0.638,34,-75.45288154390146,-79.0050327461533,1.5043024045036992
28,80,0.7218,0.0353,0.6501,34,-75.38389770399813,-78.88585315044102,1.4039108928857993
28,80,0.7218,0.0353,0.6501,34,-75.10698917015154,-78.9104299396505,2.0068815389979413
28,80,0.7218,0.0353,0.6501,34,-74.06798867810112,-78.15647379654843,2.576970236894627
28,87,0.7711,0.0485,0.638,34,-77.50054223891024,-80.42450512359822,0.2479257693759804
28,87,0.7711,0.0353,0.6501,34,-77.42765751970705,-80.38233470956462,0.30935437971514274
28,87,0.7711,0.0485,0.6501,34,-77.36356476392763,-80.31043546439167,0.2937414009280909
28,87,0.7711,0.0485,0.638,17,-77.3321036376653,-80.27714046436024,0.29007365338989105
28,87,0.7711,0.0485,0.638,34,-77.11659058126256,-80.18643819712847,0.5396952317318175
28,87,0.7816,0.0353,0.6501,34,-76.89870810831022,-80.12548592771458,0.853555638808723
